City,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
punta arenas,broken clouds,83,-53.15,-70.92,33.4,6.93
hualmay,few clouds,70,-11.1,-77.61,66.97,10.56
baran,broken clouds,72,25.1,76.52,83.19,8.52
albany,clear sky,37,42.6,-73.97,87.96,8.99
meulaboh,overcast clouds,83,4.14,96.13,77.05,2.71
butaritari,light rain,72,3.07,172.79,82.81,3.96
puerto ayora,broken clouds,90,-0.74,-90.35,70.0,1.99
batagay-alyta,clear sky,70,67.8,130.41,60.76,7.81
luis moya,broken clouds,31,22.43,-102.25,78.8,8.05
acapulco,few clouds,66,16.86,-99.89,87.8,8.05
iquitos,shower rain,59,-3.75,-73.25,89.6,5.82
anadyr,scattered clouds,76,64.75,177.48,53.26,13.42
port hardy,broken clouds,82,50.7,-127.42,59.0,4.7
husavik,broken clouds,82,66.04,-17.34,55.4,9.17
georgetown,few clouds,94,5.41,100.34,77.63,4.83
samana,few clouds,70,19.21,-69.34,89.6,9.17
arrah,haze,88,25.57,84.67,82.4,6.93
rikitea,scattered clouds,85,-23.12,-134.97,72.66,15.68
chaman,clear sky,31,30.92,66.45,76.14,9.44
hofn,broken clouds,87,64.25,-15.21,53.6,5.82
port elizabeth,clear sky,54,-33.92,25.57,57.2,18.34
luderitz,clear sky,76,-26.65,15.16,57.2,11.41
komsomolskiy,overcast clouds,32,40.43,71.72,80.6,6.93
hambantota,scattered clouds,82,6.12,81.12,81.5,15.3
plouzane,overcast clouds,59,48.38,-4.62,62.6,8.05
ushuaia,shower rain,80,-54.8,-68.3,33.8,21.92
cabo san lucas,few clouds,55,22.89,-109.91,89.56,8.05
mitu,light rain,75,1.2,-70.17,83.32,1.77
ribeira grande,scattered clouds,73,38.52,-28.7,71.6,14.99
tuktoyaktuk,broken clouds,67,69.45,-133.04,59.0,6.93
saint-philippe,light rain,72,-21.36,55.77,60.69,5.82
ancud,overcast clouds,65,-41.87,-73.82,47.7,3.36
beloye,moderate rain,93,48.5,39.05,69.24,6.58
kapaa,moderate rain,78,22.08,-159.32,77.4,11.41
richards bay,clear sky,46,-28.78,32.04,61.9,7.23
upernavik,broken clouds,86,72.79,-56.15,41.54,7.18
bethel,few clouds,48,41.37,-73.41,84.58,10.29
atuona,light rain,77,-9.8,-139.03,79.5,19.44
tuatapere,broken clouds,83,-46.13,167.68,39.0,3.0
klaksvik,overcast clouds,100,62.23,-6.59,51.8,8.05
hushitai,mist,100,41.93,123.51,69.8,4.47
manor,moderate rain,89,19.75,72.92,79.3,12.73
hilo,few clouds,61,19.73,-155.09,74.7,8.05
padang,light rain,73,-0.95,100.35,77.7,3.27
busselton,light rain,74,-33.65,115.33,51.78,22.62
sale,scattered clouds,83,34.04,-6.82,72.3,9.17
wawa,moderate rain,90,9.9,4.42,75.43,5.19
bay-khaak,light rain,81,51.17,94.5,57.04,4.16
kodiak,light rain,82,57.79,-152.41,55.4,9.17
pachalum,scattered clouds,64,14.92,-90.66,75.2,9.17
guerrero negro,clear sky,33,27.98,-114.06,86.0,16.8
clyde river,few clouds,71,70.47,-68.59,51.8,8.05
itarema,overcast clouds,69,-2.92,-39.92,79.47,14.97
avarua,overcast clouds,64,-21.21,-159.78,71.6,5.82
ponta do sol,few clouds,69,32.67,-17.1,69.15,8.05
hasaki,light rain,100,35.73,140.83,68.0,4.7
mahebourg,scattered clouds,88,-20.41,57.7,69.8,11.41
hobart,overcast clouds,81,-42.88,147.33,41.22,10.29
port blair,light rain,78,11.67,92.75,81.01,11.1
rio grande,clear sky,64,-32.03,-52.1,55.6,17.22
lazaro cardenas,few clouds,61,17.96,-102.2,87.1,8.05
vila velha,clear sky,65,-20.33,-40.29,80.33,8.05
puerto carreno,scattered clouds,74,6.19,-67.49,82.4,3.36
nanortalik,light rain,91,60.14,-45.24,44.94,0.4
bluff,overcast clouds,83,-46.6,168.33,39.0,3.0
ahuimanu,overcast clouds,69,21.44,-157.84,80.17,10.29
saint anthony,scattered clouds,42,45.02,-93.22,84.16,16.11
sudogda,light rain,95,55.95,40.86,64.78,3.6
westport,clear sky,58,41.14,-73.36,85.86,11.41
moroni,few clouds,74,-11.7,43.26,75.4,10.74
bushehr,clear sky,47,28.97,50.84,95.0,6.93
tessalit,clear sky,9,20.2,1.01,99.07,7.11
mimongo,overcast clouds,93,-1.62,11.61,68.0,2.62
rawson,clear sky,56,-43.3,-65.1,44.76,25.95
jamestown,broken clouds,56,42.1,-79.24,72.77,11.41
batemans bay,light rain,77,-35.72,150.18,55.0,5.01
rio gallegos,light snow,93,-51.62,-69.22,33.8,5.82
galesong,few clouds,100,-5.32,119.37,75.2,3.36
nishihara,few clouds,88,26.18,127.76,82.78,6.93
nikolskoye,few clouds,71,59.7,30.79,57.13,6.71
nyrob,overcast clouds,71,60.73,56.72,60.3,5.59
qaanaaq,clear sky,61,77.48,-69.36,46.33,8.93
souillac,scattered clouds,88,-20.52,57.52,69.8,11.41
bambous virieux,scattered clouds,88,-20.34,57.76,70.36,11.41
san rafael,few clouds,60,-34.62,-68.33,44.33,7.27
longyearbyen,broken clouds,76,78.22,15.64,48.2,5.82
fortuna,scattered clouds,77,40.6,-124.16,62.33,12.75
leningradskiy,overcast clouds,87,69.38,178.42,37.67,8.01
cherskiy,clear sky,64,68.75,161.3,59.13,4.23
haines junction,overcast clouds,47,60.75,-137.51,60.22,8.1
ternate,broken clouds,79,0.8,127.4,79.03,2.13
saskylakh,overcast clouds,58,71.92,114.08,60.96,8.23
flinders,moderate rain,89,-34.58,150.86,55.99,8.99
xiongzhou,clear sky,79,25.12,114.3,77.9,2.53
spas-klepiki,broken clouds,86,55.13,40.18,66.0,5.01
coihaique,few clouds,56,-45.58,-72.07,41.0,5.82
norman wells,scattered clouds,55,65.28,-126.83,66.2,5.82
novorudnyy,overcast clouds,60,51.5,58.19,73.4,8.95
lebyazhye,clear sky,69,55.27,66.49,68.18,4.12
port alfred,clear sky,44,-33.59,26.89,58.12,26.51
qarqin,few clouds,25,37.42,66.04,82.04,2.21
lethem,light rain,65,3.38,-59.8,86.49,4.81
lukulu,clear sky,34,-14.37,23.24,59.65,3.98
east london,clear sky,39,-33.02,27.91,62.06,24.18
lebu,clear sky,68,-37.62,-73.65,51.98,3.15
cheremnoye,overcast clouds,93,53.17,83.21,60.8,8.95
svetlaya,broken clouds,90,46.54,138.33,57.97,4.41
vaini,few clouds,64,-21.2,-175.2,73.4,10.29
qiyang,broken clouds,91,26.59,111.85,77.61,2.01
laguna,clear sky,33,38.42,-121.42,87.67,8.05
puerto penasco,scattered clouds,79,31.32,-113.53,87.01,11.99
mataura,overcast clouds,83,-46.19,168.86,39.0,3.0
puerto colombia,scattered clouds,74,10.99,-74.95,87.8,10.29
bredasdorp,light rain,81,-34.53,20.04,48.2,17.22
caravelas,clear sky,79,-17.71,-39.25,75.24,5.39
